factory_code,factory_name,layout_name,canvas_width,canvas_length,area_code,area_name,area_x,area_y,area_width,area_length,area_type,line_code,line_name,line_type,takt_time_sec,capacity_per_shift,ws_code,ws_name,seq,ws_x,ws_y,ws_width,ws_length,max_operators,power_kw,from_ws,to_ws,distance,transport_type,transfer_time_sec,detail
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-01,Chassis Base Frame Preparation,1,100,500,100,80,2,15.0,WS-CA-01,WS-CA-02,5.0,Conveyor,12,w1: Chassis base frame preparation for automobile body
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-02,Engine Mounting Preparation,2,100,400,100,80,2,18.0,WS-CA-02,WS-CA-03,5.0,Conveyor,12,w2: Engine mounting preparation and alignment
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-03,Transmission and Drivetrain Assembly,3,100,300,100,80,2,20.0,WS-CA-03,WS-CA-04,5.0,Conveyor,12,w3: Transmission and drivetrain assembly
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-04,Suspension and Axle Installation,4,100,200,100,80,2,12.0,WS-CA-04,WS-CA-05,5.0,Conveyor,12,w4: Suspension and axle installation
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-05,Electrical Wiring and Control Unit,5,250,120,100,80,2,10.0,WS-CA-05,WS-CA-06,5.0,Conveyor,12,w5: Electrical wiring and control unit installation
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-06,Interior Assembly and Dashboard,6,400,200,100,80,2,8.0,WS-CA-06,WS-CA-07,5.0,Conveyor,12,w6: Interior assembly and dashboard fitting
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-07,Exterior Body Panel Installation,7,400,300,100,80,2,8.0,WS-CA-07,WS-CA-08,5.0,Conveyor,12,w7: Exterior body panel installation
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-08,Painting and Coating,8,400,400,100,80,1,25.0,WS-CA-08,WS-CA-09,5.0,Conveyor,12,w8: Painting and coating of the automobile body
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A01,Chassis Assembly,10,10,600,300,Production,L01,Chassis Assembly Line,U-Shape,90,120,WS-CA-09,Final Inspection and Quality Check,9,400,500,100,80,2,5.0,,,0,,,w9: Final inspection and quality check
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,SUV_Main_Assembly_Floor,1600,1000,A02,Main Framing Assembly,650,10,600,300,Production,L02,Main Framing Line,Straight,120,100,WS-MF-01,Underbody Framing,1,600,500,100,80,2,20.0,WS-MF-01,WS-MF-02,5.0,Conveyor,15,w10: Underbody framing
